AttrId,EffectType,Payload,DefaultOp,DefaultThisWeaponOnly,ShowAsPercent,Notes
char.critchance,CharGE,/Game/Cards/Character/GameplayEffect/BP_Card_CritChance.BP_Card_CritChance_C,,,TRUE,
char.critmult,CharGE,/Game/Cards/Character/GameplayEffect/BP_Card_CritMult.BP_Card_CritMult_C,,,FALSE,
char.damage,CharGE,/Game/Cards/Character/GameplayEffect/BP_Card_Damage.BP_Card_Damage_C,,,TRUE,
char.healthregen,CharGE,/Game/Cards/Character/GameplayEffect/GE_Card_HealthRegen.GE_Card_HealthRegen_C,,,FALSE,
char.lifesteal,CharPassive,/Game/Cards/Character/GA_Lifesteal.GA_Lifesteal_C,,,,
char.luck,CharGE,/Game/Cards/Character/GameplayEffect/BP_Card_Luck.BP_Card_Luck_C,,,FALSE,
char.maxhealth,CharGE,/Game/Cards/Character/GameplayEffect/BP_Card_MaxHealth.BP_Card_MaxHealth_C,,,FALSE,
char.pickupradius,CharGE,/Game/Cards/Character/GameplayEffect/BP_Card_PickupRadius.BP_Card_PickupRadius_C,,,TRUE,
char.xpgain,CharGE,/Game/Cards/Character/GameplayEffect/BP_Card_XPGain.BP_Card_XPGain_C,,,TRUE,
unlock.bazooka,GrantWeapon,/Game/Weapons/DataTable/DA_Weapon_Bazooka.DA_Weapon_Bazooka,,,,
unlock.chargelaser,GrantWeapon,/Game/Weapons/DataTable/DA_Weapon_ChargeLaser.DA_Weapon_ChargeLaser,,,,
unlock.lmg,GrantWeapon,/Game/Weapons/DataTable/DA_Weapon_LMG.DA_Weapon_LMG,,,,
unlock.rifle,GrantWeapon,/Game/Weapons/DataTable/DA_Weapon_Rifle.DA_Weapon_Rifle,,,,
unlock.shotgun,GrantWeapon,/Game/Weapons/DataTable/DA_Weapon_Shotgun.DA_Weapon_Shotgun,,,,
unlock.smg,GrantWeapon,/Game/Weapons/DataTable/DA_Weapon_SMG.DA_Weapon_SMG,,,,
unlock.sniper,GrantWeapon,/Game/Weapons/DataTable/DA_Weapon_Sniper.DA_Weapon_Sniper,,,,
weapon.firerate,WeaponStat,FireRate,PercentMultiply,FALSE,,
weapon.frag.ammoonmiss,WeaponBehavior,/Game/Cards/Weapons/Modifiers/DA_Fragment_AmmoOnMiss.DA_Fragment_AmmoOnMiss,,,,
weapon.frag.bounsdamage,WeaponBehavior,/Game/Cards/Weapons/Modifiers/DA_Fragment_BounsDamage.DA_Fragment_BounsDamage,,,,
weapon.frag.explosiverounds,WeaponBehavior,/Game/Cards/Weapons/Modifiers/DA_Fragment_ExplosiveRounds.DA_Fragment_ExplosiveRounds,,,,
weapon.frag.multishot,WeaponBehavior,/Game/Cards/Weapons/Modifiers/DA_Fragment_MultiShot.DA_Fragment_MultiShot,,,,
weapon.frag.noselfdamage,WeaponBehavior,/Game/Cards/Weapons/Modifiers/DA_Fragment_NoSelfDamage.DA_Fragment_NoSelfDamage,,,,
weapon.frag.reloadonkill,WeaponBehavior,/Game/Cards/Weapons/Modifiers/DA_Fragment_ReloadOnKill.DA_Fragment_ReloadOnKill,,,,
weapon.frag.rifleburst,WeaponBehavior,/Game/Cards/Weapons/Modifiers/DA_Fragment_Rifle_Burst.DA_Fragment_Rifle_Burst,,,,
weapon.frag.riflesniperscope,WeaponBehavior,/Game/Cards/Weapons/Modifiers/DA_Fragment_Rifle_SniperScope.DA_Fragment_Rifle_SniperScope,,,,
weapon.magsize,WeaponStat,MagSize,PercentMultiply,FALSE,,
weapon.recoilvertical,WeaponStat,RecoilVertical,PercentMultiply,FALSE,,
weapon.reloadtime,WeaponStat,ReloadTime,Additive,TRUE,,
