CardId,AssetName,Group,Route,OwnerWeapon,Weight,Family,DisplayName_ko,DisplayName_en,DisplayName_ja,Description_ko,Description_en,Description_ja,E1_Attr,E1_Override,E1_Tiers,E2_Attr,E2_Override,E2_Tiers,E3_Attr,E3_Override,E3_Tiers
DA_Card_Character_HealthRegen,DA_Card_Character_HealthRegen,Character,LevelUpGlobal,,1,,체력 재생,Health Regen,体力再生,,,,char.healthregen,,C:0.5;R:1.0;E:1.5;L:2.0,,,,,,
DA_Card_Character_Lifesteal,DA_Card_Character_Lifesteal,Character,LevelUpGlobal,,1,,흡혈,Lifesteal,ライフスティール,,,,char.lifesteal,,C:0.0,,,,,,
DA_Card_CritChance,DA_Card_CritChance,Character,LevelUpGlobal,,1,,치명타 확률,Critical Chance,クリティカル確率,치명타 확률 증가,Critical Chance Up,クリティカル確率アップ,char.critchance,,R:0.05;E:0.1;L:0.15,,,,,,
DA_Card_CritMult,DA_Card_CritMult,Character,LevelUpGlobal,,1,,치명타 피해,Critical Damage,クリティカルダメージ,치명타 피해 증가,Critical Damage Up,クリティカルダメージアップ,char.critmult,,R:0.1;E:0.15;L:0.25,,,,,,
DA_Card_Damage,DA_Card_Damage,Character,LevelUpGlobal,,1,,공격력,Damage,攻撃力,공격력 증가,Damage Up,攻撃力アップ,char.damage,,C:0.025;R:0.05;E:0.065;L:0.075,,,,,,
DA_Card_FireRate_AllWeapon,DA_Card_FireRate_AllWeapon,Character,LevelUpGlobal,,1,,연사 속도,Fire Rate,発射速度,모든 무기의 연사 속도 증가,Fire rate up for all weapons,全武器の発射速度アップ,weapon.firerate,,C:0.03;R:0.05;E:0.07;L:0.1,,,,,,
DA_Card_FireRate_ThisWeapon,DA_Card_FireRate_ThisWeapon,Weapon,LevelUpWeapon,DA_Weapon_Bazooka;DA_Weapon_Knife;DA_Weapon_Rifle;DA_Weapon_Shotgun;DA_Weapon_SMG,1,,연사 속도,Fire Rate,発射速度,이 무기의 연사 속도 증가,Fire rate up for this weapon,この武器の発射速度アップ,weapon.firerate,ThisWeaponOnly=true,C:0.01;R:0.03;E:0.05;L:0.07,,,,,,
DA_Card_Luck,DA_Card_Luck,Character,LevelUpGlobal,,1,,행운,Luck,幸運,행운 증가,Luck Up,幸運アップ,char.luck,,C:1.0;R:2.0;E:3.0;L:4.0,,,,,,
DA_Card_MagSize_AllWeapon,DA_Card_MagSize_AllWeapon,Character,LevelUpGlobal,,1,,탄창 용량,Magazine Size,マガジン容量,모든 무기의 탄창 용량 증가,Magazine size up for all weapons,全武器のマガジン容量アップ,weapon.magsize,,C:0.03;R:0.05;E:0.07;L:0.15,,,,,,
DA_Card_MagSize_ThisWeapon,DA_Card_MagSize_ThisWeapon,Weapon,LevelUpWeapon,DA_Weapon_Bazooka;DA_Weapon_ChargeLaser;DA_Weapon_LMG;DA_Weapon_Rifle;DA_Weapon_Shotgun;DA_Weapon_SMG;DA_Weapon_Sniper,1,,탄창 용량,Magazine Size,マガジン容量,이 무기의 탄창 용량 증가,Magazine size up for this weapon,この武器のマガジン容量アップ,weapon.magsize,ThisWeaponOnly=true,C:0.05;R:0.07;E:0.1;L:0.1,weapon.reloadtime,,C:0.0;R:0.0;E:0.0;L:-0.1,,,
DA_Card_MaxHealth,DA_Card_MaxHealth,Character,LevelUpGlobal,,1,,최대 체력,Max Health,最大体力,최대 체력 증가,Max Health Up,最大体力アップ,char.maxhealth,,C:5.0;R:8.0;E:12.0;L:15.0,,,,,,
DA_Card_PickupRadius,DA_Card_PickupRadius,Character,LevelUpGlobal,,1,,획득 반경,Pickup Radius,回収範囲,획득 반경 증가,Pickup Radius Up,回収範囲アップ,char.pickupradius,,R:0.05;E:0.1;L:0.15,,,,,,
DA_Card_RecoilVertical_AllWeapon,DA_Card_RecoilVertical_AllWeapon,Character,LevelUpGlobal,,1,,수직 반동,Vertical Recoil,垂直反動,모든 무기의 수직 반동 감소,Vertical recoil down for all weapons,全武器の垂直反動ダウン,weapon.recoilvertical,,C:-0.1;R:-0.14;E:-0.16;L:-0.18,,,,,,
DA_Card_RecoilVertical_ThisWeapon,DA_Card_RecoilVertical_ThisWeapon,Weapon,LevelUpWeapon,DA_Weapon_Bazooka,1,,수직 반동,Vertical Recoil,垂直反動,이 무기의 수직 반동 감소,Vertical recoil down for this weapon,この武器の垂直反動ダウン,weapon.recoilvertical,ThisWeaponOnly=true,C:-0.2;R:-0.22;E:-0.24;L:-0.26,,,,,,
DA_Card_XPGain,DA_Card_XPGain,Character,LevelUpGlobal,,1,,경험치 획득,XP Gain,経験値獲得,경험치 획득량 증가,XP Gain Up,経験値獲得量アップ,char.xpgain,,R:0.05;E:0.15;L:0.2,,,,,,
DA_CardModifiers_AmmoOnMiss,DA_CardModifiers_AmmoOnMiss,Weapon,MissionClearWeaponFeature,DA_Weapon_Bazooka;DA_Weapon_ChargeLaser;DA_Weapon_LMG;DA_Weapon_Shotgun;DA_Weapon_Sniper,1,,빗나감 보충,Ammo on Miss,ミス時弾薬回復,빗나간 사격의 탄약을 돌려받는다,Missed shots refund ammo,外した射撃の弾薬が戻ってくる,weapon.frag.ammoonmiss,,L:0.0,,,,,,
DA_CardModifiers_BonusShot,DA_CardModifiers_BonusShot,Weapon,MissionClearWeaponFeature,DA_Weapon_Bazooka;DA_Weapon_ChargeLaser;DA_Weapon_Knife;DA_Weapon_LMG;DA_Weapon_Shotgun;DA_Weapon_SMG;DA_Weapon_Sniper,1,,보너스 샷,Bonus Shot,ボーナスショット,사격 시 추가 사격이 나간다,Shooting fires an additional shot,射撃時に追加の射撃が発生する,weapon.frag.bonusshot ,,L:0.0,,,,,,
DA_CardModifiers_BurstFire,DA_CardModifiers_BurstFire,Weapon,MissionClearWeaponFeature,DA_Weapon_SMG,1,,점사 사격,Burst Fire,バースト射撃,방아쇠 1회당 3점사로 발사한다,Fire a 3-round burst per trigger pull,1回の引き金で3点バースト射撃,weapon.frag.rifleburst,,L:0.0,,,,,,
