Key,SourceString,en,ja
Debug.LocSmoke,로컬라이제이션 시드,Localization seed,ローカライズシード
Fmt.FragmentCategory,무기 개조,Weapon Modifier,武器改造
Rarity.Common,커먼,Common,コモン
Rarity.Rare,레어,Rare,レア
Rarity.Epic,에픽,Epic,エピック
Rarity.Legendary,레전더리,Legendary,レジェンダリー
Rarity.Unknown,?,?,?
Fmt.WeaponStat,{0} {1}{2},{0} {1}{2},{0} {1}{2}
Fmt.WeaponStat.AllWeaponsSuffix," (전체 무기)"," (all weapons)"," (全武器)"
Fmt.UnlockWeapon,해금: {0},Unlock: {0},解禁: {0}
Fmt.CharacterPassive,패시브 능력,Passive ability,パッシブ能力
Stat.MagSize,탄창 크기,Magazine Size,マガジン容量
Stat.FireRate,발사 속도,Fire Rate,発射速度
Stat.RecoilVertical,수직 반동,Recoil (Vertical),垂直反動
Stat.Damage,데미지,Damage,ダメージ
Stat.SpreadDegrees,탄퍼짐,Spread,拡散
Stat.ReloadTime,재장전 시간,Reload Time,リロード時間
