Key,SourceString,en,ja
Debug.LocSmoke,로컬라이제이션 시드,Localization seed,ローカライズシード
Widget.CardEntry.Missing,[없음],[Missing],[欠落]
Widget.CardEntry.SourceCharacter,캐릭터,Character,キャラクター
Widget.Lobby.PlayerRowFmt,{0}{1}  -  {2}{3},{0}{1}  -  {2}{3},{0}{1}  -  {2}{3}
Widget.Lobby.ReadyMark,   [준비완료],   [READY],   [準備完了]
HUD.Boss.NameLabel,보스,BOSS,ボス
HUD.Run.FrozenBanner,레벨 업 — 카드를 선택하세요,LEVEL UP — SELECT CARDS,レベルアップ — カードを選択
HUD.Run.LevelLabel,레벨 : ,Level : ,レベル : 
Menu.Button.Back,뒤로,Back,戻る
Menu.Button.Play,플레이,Play,プレイ
Menu.Button.Quit,종료,Quit,終了
Menu.Button.Return,메뉴로 돌아가기,Return to Menu,メニューに戻る
Menu.Button.Settings,설정,Settings,設定
Settings.MasterVolume.Title,마스터 볼륨,MASTER VOLUME,マスターボリューム
Widget.LoadoutEntry.NameLabel,무기,Weapon,武器
Widget.Lobby.WeaponSlot0,풀오토 소총,FullAutoRifle,フルオートライフル
Widget.Lobby.WeaponSlot1,저격소총,Sniper,スナイパー
Widget.Lobby.WeaponSlot2,샷건,Shotgun,ショットガン
Widget.Lobby.WeaponSlot3,바주카,Bazooka,バズーカ
Widget.Lobby.WeaponSlot4,유탄발사기,Grenade Launcher,グレネードランチャー
Widget.Lobby.WeaponSlot5,차지 레이저,ChargeLaser,チャージレーザー
Widget.Lobby.WeaponSlot6,경기관총,LMG,軽機関銃
Widget.Lobby.WeaponSlot7,점사소총,BurstRifle,バーストライフル
Widget.Lobby.InviteButton,친구 초대 (F),Invite Friends (F),フレンドを招待 (F)
Widget.Lobby.JoinButton,참가 (V),Join (V),参加 (V)
Menu.Result.Victory,승리,VICTORY,勝利
Menu.Result.Defeat,패배,DEFEAT,敗北
HUD.Downed.WaitingForAlly,다운 — 아군을 기다리는 중,DOWNED — WAITING FOR A TEAMMATE,ダウン — 味方を待っています
HUD.Downed.Reviving,부활 중...,Reviving...,蘇生中...
HUD.Downed.AllyReviving,아군 부활 중...,Reviving teammate...,味方を蘇生中...
HUD.Mission.BannerLabel,미션,MISSION,ミッション
